Dónde estás trabajando,Dedicación,Tipo de contrato,Último salario mensual o retiro BRUTO (en pesos argentinos),Último salario mensual o retiro NETO (en pesos argentinos),Pagos en dólares,Si tu sueldo está dolarizado ¿Cuál fue el último valor del dólar que tomaron?,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste actualizaciones de tus ingresos laborales durante 2024?,¿De qué % fue el ajuste total acumulado?,¿En qué mes fue el último ajuste?,Cómo considerás que están tus ingresos laborales comparados con el semestre anterior,¿Contás con beneficios adicionales?,¿Qué tan conforme estás con tus ingresos laborales?,¿Estás buscando trabajo?,Trabajo de,Años de experiencia,Antigüedad en la empresa actual,Años en el puesto actual,¿Cuántas personas tenés a cargo?,Plataformas que utilizas en tu puesto actual,Lenguajes de programación o tecnologías que utilices en tu puesto actual,"Frameworks, herramientas y librerías que utilices en tu puesto actual",Bases de datos,QA / Testing,Cantidad de personas en tu organización,Modalidad de trabajo,Si trabajás bajo un esquema híbrido ¿Cuántos días a la semana vas a la oficina?,"En los últimos 6 meses, ¿se aplicó alguna política de ajustes salariales?","En los últimos 6 meses, ¿hubo reducción de personal?",¿La recomendás como un buen lugar para trabajar?,"¿Qué tanto estás usando Copilot, ChatGPT u otras herramientas de IA para tu trabajo?",Máximo nivel de estudios,Estado,Carrera,Institución educativa,¿Tenés guardias?,Cuánto cobrás por guardia,Aclará el número que ingresaste en el campo anterior,Tengo (edad),Género
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2000000,1650000,,,No,No recibo bono,Uno,60,Mayo,4,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Descuentos varios (Clarín 365, Club La Nación, etc)",3,"No, pero escucho ofertas.",Consultant,7,2,2,2,SAP,ABAP,"SAP, SAP Hana",HANA,"Postman, SoapUI",De 11  a 50  personas,Híbrido (presencial y remoto),2,Ajustes trimestrales desde el año pasado,No,7,0,Universitario,Completo,Ingeniería en Sistemas de Información,UAI - Universidad Abierta Interamericana,,,,29,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),2600000,1600000,,,Un sueldo,Mix de las anteriores,No,22,Febrero,2,Ninguna de las anteriores,1,"No, pero escucho ofertas.",Architect,23,20,1,0,"Azure, Docker, Linux, Serverless, Windows Server","C++, Java, Python, SQL","Hibernate, Spring","ElasticSearch, Informix, MariaDB, Microsoft SQL Server, MongoDB, MySQL, Oracle, PostgreSQL, SQLite",Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,Si,No,1,1,,,,,,,,52,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1300000,,Cobro todo el salario en dólares,,No,No recibo bono,No,0,No tuve,2,"Clases de idiomas, Horarios flexibles",2,"Sí, estoy buscando activamente.",Developer,3,2,1,0,Ninguna de las anteriores,TypeScript,"Next.js, Node.js, React.js","Redis, SQLite",Jest,De 11  a 50  personas,100% remoto,0,,Sí,2,3,Terciario,En curso,Analista de Sistemas,ORT,,,,31,Femenino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1727591,1435701,Cobro parte del salario en dólares,892,De uno a tres sueldos,Mix de las anteriores,Dos,90,Marzo,4,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",4,"No, estoy muy conforme.",Developer,6,1.5,1.5,0,Amazon Web Services,Mulesoft,Ninguno de los anteriores,Amazon DynamoDB,Ninguna de las anteriores,De 1001 a 2000 personas,100% remoto,0,Ajuste por inflación,No sé,9,1,Universitario,Incompleto,Licenciatura en Sistemas de Información,UADE - Universidad Argentina De la Empresa,No,0,Porcentaje de mi sueldo bruto,25,Femenino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),3000000,276000,Cobro parte del salario en dólares,,No,No recibo bono,Dos,30,Marzo,2,"Abono de Internet, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",3,"Sí, estoy buscando activamente.",Manager / Director,15,2,2,25,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 1001 a 2000 personas,100% remoto,0,,Sí,7,4,,,,,,,,40,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2893000,2306000,Cobro parte del salario en dólares,892,De uno a tres sueldos,Performance individual,Dos,20,Febrero,2,"Descuentos varios (Clarín 365, Club La Nación, etc)",2,"No, pero escucho ofertas.",UX Lead,5,2,1,8,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 1001 a 2000 personas,100% remoto,0,entre aproximadamente oct/nov y febrero si la inflación era mayor al 12% nos ajustaban el sueldo mensualmente,No,7,1,Universitario,En curso,Ciencias de la Comunicación,UBA - Universidad de Buenos Aires,,,,36,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3353539,3102023,Cobro todo el salario en dólares,"865,67",No,No recibo bono,Más de tres,47,Mayo,4,"Horarios flexibles, Licencia por nacimiento extendida",4,"No, pero escucho ofertas.",DevOps Engineer,20,2,10,2,"Azure, Docker, IBM Cloud / Watson, Kubernetes, Linux, VMWare, Windows Server","Bash/Shell, CSS, HTML, Perl, PHP, Python, SQL","Angular, Bootstrap, Laravel, Node.js, Vue.js, WordPress","ElasticSearch, Informix, MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, MySQL, PostgreSQL, SQLite",Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),2,-,No sé,10,0,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,No,0,Neto,49,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),1970000,1600000,Cobro parte del salario en dólares,890,Un sueldo,Performance individual,Dos,45,Mayo,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",2,"Sí, estoy buscando activamente.",Consultant,7,7,7,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 2001a 5000 personas,Híbrido (presencial y remoto),1,,No,7,0,,,,,,,,38,masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2100000,1780000,,,De uno a tres sueldos,Mix de las anteriores,Dos,11,Mayo,3,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles, Licencia por nacimiento extendida",3,"No, pero escucho ofertas.",DevOps Engineer,16,4,6,2,"Amazon Web Services, Docker, Google Cloud Platform, Kubernetes, Linux, OpenShift",Bash/Shell,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),2,,No sé,8,2,Universitario,Completo,Ingeniería en Informática,,No,0,Porcentaje de mi sueldo bruto,42,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3300000,2970000,Mi sueldo está dolarizado (pero cobro en moneda local),El oficial siempre,Un sueldo,Performance individual,Uno,13,Marzo,4,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Licencia por nacimiento extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",Systems Engineer,4,0,0,0,Ninguna de las anteriores,"HTML, Java, Javascript, SQL, TypeScript, Apex, Typescript",Ninguno de los anteriores,Ninguna de las anteriores,Visual Studio Coded UI,De 51 a 100 personas,Híbrido (presencial y remoto),1,,No sé,10,2,Secundario,Completo,,,,,,29,Femenino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),1800000,1494000,,,Menos de un sueldo,Porcentaje de facturación,Dos,68,Mayo,2,"Abono de Internet, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, etc)",1,"No, pero escucho ofertas.",Data Scientist,3,5,1,8,"Amazon Web Services, Azure, Google Cloud Platform, IBM Cloud / Watson","Python, SQL","Hadoop, Hibernate, Spark, TensorFlow","Amazon RDS/Aurora, Google Cloud Storage, IBM Db2, Microsoft SQL Server, MySQL, PostgreSQL, SQLite",Ninguna de las anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),1,,Sí,5,3,Universitario,Completo,Licenciatura en Sistemas de Información,UNGS - Universidad Nacional de General Sarmiento,"Sí, pasiva",0,Bruto,27,Masculino
Córdoba,Part-Time,Freelance,1478250,1478250,Cobro todo el salario en dólares,,Menos de un sueldo,Performance individual,Dos,50,Abril,4,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Developer,1,1,1,0,"Azure, Docker",".NET, C#, CSS, HTML, Java, Javascript, Python, SQL",".NET Core, Angular, Bootstrap, Flask, React.js, Spring","MariaDB, Microsoft SQL Server, MongoDB, MySQL, Oracle",Ninguna de las anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),1,,No sé,8,5,Universitario,En curso,Licenciatura en Ciencias de la Computación,UNC - Universidad Nacional de Córdoba,No,0,Neto,22,Femenino
Santa Fe,Part-Time,Staff (planta permanente),800000,800000,,,Un sueldo,Performance individual,Uno,20,Abril,2,"Abono de celular, Horarios flexibles",3,"No, pero escucho ofertas.",UX Designer,42,42,42,0,"Google Cloud Platform, Windows Server","HTML, Java, Javascript",Ninguno de los anteriores,Google Cloud Storage,Ninguna de las anteriores,Más de 10000 personas,100% remoto,0,,Sí,7,2,,,,,,,,61,Masculino
Córdoba,Full-Time,Contractor,8000000,,Cobro todo el salario en dólares,,Un sueldo,Performance individual,No,0,No tuve,4,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",4,"No, pero escucho ofertas.",Product Manager,10,3,6,0,"Amazon Web Services, Docker",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,no,Sí,9,4,Maestría,Completo,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,,,,34,Femenino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2000000,1700000,,,De uno a tres sueldos,Performance individual,Dos,50,Abril,4,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",4,"No, pero escucho ofertas.",DevOps Engineer,10,2,2,0,"Amazon Web Services, Docker, Firebase, Google Cloud Platform, Linux, Serverless, Windows Server","Bash/Shell, Python","Django, React.js","Amazon Redshift, Amazon RDS/Aurora, MongoDB, MySQL, PostgreSQL, Redis",Cypress,De 51 a 100 personas,100% remoto,0,,No,10,3,,,,,,,,39,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2354069,2047260,,,Menos de un sueldo,Mix de las anteriores,Dos,55,Abril,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Descuentos varios (Clarín 365, Club La Nación, etc), Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",2,"No, pero escucho ofertas.",BI Analyst / Data Analyst,6,4,4,0,"Firebase, Google Cloud Platform","Python, SQL",Ninguno de los anteriores,"Google Cloud Storage, Microsoft SQL Server, Oracle",Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),1,"Si, desempeño e IPC",Sí,6,2,,,,,,,,33,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),3573760,2846868,,,Menos de un sueldo,Performance de la compañía,Dos,44,Abril,2,"Abono de celular, Comidas pagas / subvencionadas, Viáticos",3,"No, estoy muy conforme.",Manager / Director,25,12,5,30,"Docker, Linux",Python,"React.js, WordPress, FastAPI","IBM Db2, MariaDB, MongoDB, MySQL, PostgreSQL, Redis",Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),2,,Sí,0,2,,,,,,,,56,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),2000000,1794000,,,De uno a tres sueldos,Performance de la compañía,Dos,5,Febrero,2,"Abono de celular, Capacitaciones y/o cursos, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles",2,"No, pero escucho ofertas.",Networking,15,2,2,5,"Docker, Linux, VMWare, Windows Server","Bash/Shell, HTML, PHP, Python, SQL","Drupal, Symfony, WordPress","ElasticSearch, MariaDB, Microsoft SQL Server, MySQL, PostgreSQL, SQLite",Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),1,,Sí,3,1,,,,,"Sí, pasiva",10000,Neto,33,Masculino
Provincia de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),850000,712000,Cobro parte del salario en dólares,890,No,No recibo bono,Uno,12.3,Febrero,1,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Descuentos varios (Clarín 365, Club La Nación, etc)",1,"Sí, estoy buscando activamente.",Developer,5,1,5,0,OpenShift,"CSS, HTML, Javascript","Node.js, React.js",Oracle,Jest,De 101 a 200 personas,100% remoto,0,si,Sí,2,3,,,,,,,,29,Femenino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1235000,1025000,,,No,No recibo bono,Uno,25,Febrero,3,"Abono de Internet, Capacitaciones y/o cursos, Horarios flexibles",3,"No, pero escucho ofertas.",Developer,3,0,3,0,"Amazon Web Services, Docker, Kubernetes","Java, SQL","Hibernate, Spring",PostgreSQL,JUnit,De 2001a 5000 personas,100% remoto,0,Ajuste por inflación,No sé,7,3,,,,,,,,25,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),3000000,2300000,Mi sueldo está dolarizado (pero cobro en moneda local),MEP,De uno a tres sueldos,Mix de las anteriores,Más de tres,92,Abril,3,Viáticos,3,"No, pero escucho ofertas.",Developer,7,7,3,0,"Docker, Linux, VMWare, Windows Server",".NET, Bash/Shell, C#, CSS, Dart, Go, HTML, Javascript, Python, Rust, SQL, TypeScript, VBA","Flutter, Node.js","Microsoft SQL Server, MongoDB, PostgreSQL, Redis, SQLite",Ninguna de las anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),4,No,No,8,2,Terciario,Completo,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,,,,34,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),692760,574991,,,No,No recibo bono,Dos,60,Mayo,3,"Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, etc)",3,"No, estoy muy conforme.",Developer,10,3,3,0,Firebase,Javascript,React.js,Ninguna de las anteriores,Jest,De 11  a 50  personas,100% remoto,0,"actualización cada 3 meses, con revisión mensual",No sé,8,5,,,,,,,,38,Masculino
Santa Fe,Full-Time,Staff (planta permanente),1500000,1245000,,,No,No recibo bono,Uno,40,Febrero,2,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",1,"Sí, estoy buscando activamente.",Technical Leader,13,13,5,0,"Docker, Windows Server, GeneXus",".NET, C#, HTML, GeneXus",GeneXus,Microsoft SQL Server,"Postman, SoapUI",De 11  a 50  personas,Híbrido (presencial y remoto),0,,Sí,4,0,Universitario,Incompleto,Analista Universitario de Sistemas,UNR - Universidad Nacional de Rosario,No,0,Neto,33,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2500000,,Mi sueldo está dolarizado (pero cobro en moneda local),MEP,Un sueldo,Suele ser fijo pero si a la compañia le va mal no lo dan (paso solo una vez),Uno,15,Marzo,3,Horarios flexibles,3,"No, pero escucho ofertas.",Manager / Director,5,2,1,10,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),1,"Si, ajustes trimestrales segun inflacion",Sí,7,3,Universitario,Completo,Ingeniería en Informática,UNLaM - Universidad Nacional de La Matanza,No,0,Porcentaje de mi sueldo bruto,28,Femenino
Córdoba,Full-Time,Freelance,800000,800000,Cobro parte del salario en dólares,,No,No recibo bono,Uno,35,Abril,2,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Technical Leader,20,10,4,6,"Docker, Linux, Microcontroladores, Windows Server",".NET, C, C++, C#, CSS, HTML, Java, Javascript, PHP, Python, SQL, TypeScript",".NET Core, Angular, Bootstrap, Django, Hibernate, jQuery, Node.js, React.js","Microsoft SQL Server, MongoDB, MySQL, PostgreSQL","NUnit, Postman",De 11  a 50  personas,100% remoto,0,"Abril, Agosto y Diciembre según IPC (acumulado) la parte en pesos. La parte en dólares queda igual.",No,0,5,Universitario,Completo,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, pasiva",160000,Neto,42,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),1294674,1087580,Cobro parte del salario en dólares,884,Menos de un sueldo,Performance individual,Más de tres,30,Mayo,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería",2,"No, pero escucho ofertas.",Developer,3.5,3.5,1.5,0,Amazon Web Services,Java,Jakarta,PostgreSQL,"JUnit, Insomnia",De 11  a 50  personas,100% remoto,0,Se aplicaron aumentos porcentuales casi todos los meses,No sé,8,2,Universitario,Completo,Licenciatura en Ciencias de la Computación,,No,0,Porcentaje de mi sueldo bruto,29,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5000000,3250000,,,3+ sueldos,Performance de la compañía,Dos,40,Marzo,4,"Abono de celular, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",Manager / Director,15,5,2,5,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Linux, Serverless","Go, Groovy, Java, SQL",Hibernate,"Amazon DynamoDB, ElasticSearch, MySQL, Oracle, PostgreSQL",Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),2,Si,No,10,5,Posdoctorado,Completo,Licenciatura en Ciencias de la Computación,UBA - Universidad de Buenos Aires,"Sí, pasiva",0,Porcentaje de mi sueldo bruto,41,Masculino
Chubut,Full-Time,Staff (planta permanente),1021250.78,842532,,,No,No recibo bono,Dos,15,Marzo,4,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), Día del cumpleaños libre",4,"No, pero escucho ofertas.",Middleware,3,3,3,1,Docker,"Java, Javascript","Node.js, Loopback, Quarkus","MongoDB, Oracle, Redis",JUnit,De 11  a 50  personas,100% remoto,0,"Si, por inflación. No recuerdo monto exacto, dependía un poco de la antiguedad",No,8,3,Universitario,En curso,Licenciatura en Informática,,No,0,Bruto,33,Masculino
Mendoza,Full-Time,Contractor,625000,550000,Cobro parte del salario en dólares,,Menos de un sueldo,Performance de la compañía,Dos,25,Marzo,1,"Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles",1,"Sí, estoy buscando activamente.",Manager / Director,20,3,1,4,"Amazon Web Services, Linux","CSS, HTML, Javascript, Python, Solidity, SQL","Bootstrap, Django, Flask, Spring, WordPress","MongoDB, MySQL, SQLite",Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,,No sé,3,5,,,,,,,,38,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2800000,2400000,,,Un sueldo,Mix de las anteriores,Dos,30,Marzo,3,"Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Horarios flexibles",3,"No, pero escucho ofertas.",Developer,5,3,3,0,Docker,"Go, Java",Spring,"ElasticSearch, MySQL",Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),1,,No,8,0,Universitario,En curso,Ingeniería en Telecomunicaciones,UNSAM - Universidad de San Martín,"Sí, activa",0,Porcentaje de mi sueldo bruto,31,Masculino
